kepid,kepoi_name,koi_disposition_pred,koi_disposition_pred_value
10866969,K07383.01,FALSE POSITIVE,0.003151550190523267
12067960,K07510.01,FALSE POSITIVE,0.3751901388168335
6307083,K02050.02,FALSE POSITIVE,0.0721881091594696
7620413,K02103.02,CONFIRMED,0.9526626467704773
11705004,K02199.02,CONFIRMED,0.9458999633789062
2854181,K02232.02,CONFIRMED,0.9940783381462097
5978559,K02321.02,FALSE POSITIVE,0.03625922650098801
8838950,K02421.02,FALSE POSITIVE,0.39435508847236633
6867555,K02439.02,CONFIRMED,0.6291336417198181
12208631,K02449.02,FALSE POSITIVE,0.04829936847090721
3346543,K06329.01,CONFIRMED,0.9484062790870667
3356193,K06331.01,FALSE POSITIVE,0.0032186589669436216
7335514,K06860.01,FALSE POSITIVE,0.3353833556175232
8180290,K06985.01,FALSE POSITIVE,0.001848630141466856
9025739,K07125.01,CONFIRMED,0.5597943663597107
9909965,K07252.01,FALSE POSITIVE,0.06340880692005157
9932197,K07255.01,FALSE POSITIVE,0.00025378979626111686
10932270,K07389.01,FALSE POSITIVE,0.001335818669758737
12304728,K07520.01,FALSE POSITIVE,0.05977184697985649
7778767,K02523.02,CONFIRMED,0.8930073976516724
9026749,K02564.02,CONFIRMED,0.9181321263313293
10916600,K02623.02,CONFIRMED,0.9676743149757385
6198182,K02636.02,FALSE POSITIVE,0.007431302219629288
5695396,K00283.03,FALSE POSITIVE,0.0431332103908062
6964929,K02756.02,FALSE POSITIVE,0.010128207504749298
3545626,K06341.01,FALSE POSITIVE,0.0011513809440657496
3547178,K06342.01,CONFIRMED,0.8598551154136658
3548622,K06343.01,FALSE POSITIVE,0.00035526466672308743
4939265,K06475.01,CONFIRMED,0.9805287718772888
8308516,K07880.01,FALSE POSITIVE,0.0030557443387806416
5552808,K06598.01,FALSE POSITIVE,0.004903357941657305
5564082,K06600.01,FALSE POSITIVE,0.0027877024840563536
6551106,K06731.01,FALSE POSITIVE,0.042655766010284424
6584278,K06733.01,FALSE POSITIVE,0.04043088108301163
6590726,K06734.01,FALSE POSITIVE,0.0026541270781308413
7345335,K06862.01,FALSE POSITIVE,0.001453589298762381
8227086,K06993.01,CONFIRMED,0.9071003198623657
8227464,K06994.01,CONFIRMED,0.9882006645202637
9085039,K07129.01,FALSE POSITIVE,0.00028337660478428006
9099773,K07133.01,FALSE POSITIVE,0.02287971042096615
9943009,K07258.01,CONFIRMED,0.8512862324714661
9944201,K07259.01,FALSE POSITIVE,0.018254559487104416
9959093,K07264.01,CONFIRMED,0.8596346378326416
11019739,K07400.01,CONFIRMED,0.9618291258811951
8709688,K03019.02,CONFIRMED,0.8517240285873413
2716801,K03053.02,FALSE POSITIVE,0.024770287796854973
3230805,K03068.02,CONFIRMED,0.8775931000709534
11810124,K03344.03,FALSE POSITIVE,0.4070119857788086
9349757,K03348.02,CONFIRMED,0.9733336567878723
3219037,K03395.02,FALSE POSITIVE,0.0037685614079236984
9117416,K03425.03,CONFIRMED,0.9326658248901367
3663494,K06352.01,FALSE POSITIVE,0.0175516065210104
4995716,K06484.01,FALSE POSITIVE,0.002658664947375655
5597361,K06601.01,FALSE POSITIVE,0.4512546956539154
5617510,K06605.01,FALSE POSITIVE,0.0010507921688258648
6603765,K06739.01,FALSE POSITIVE,0.010151524096727371
7381580,K06872.01,FALSE POSITIVE,0.0011868954170495272
8248103,K07002.01,CONFIRMED,0.579319417476654
8256882,K07003.01,CONFIRMED,0.7777702212333679
8283875,K07007.01,FALSE POSITIVE,0.22373005747795105
9150870,K07136.01,FALSE POSITIVE,0.00041199903353117406
10002049,K07270.01,FALSE POSITIVE,0.03022218868136406
10019854,K07272.01,FALSE POSITIVE,0.0076425280421972275
